Country,Year,Production Mineral,Production Qty,Import Mineral Name,Import Qty,Access to electricity (% of pop),Central Govt Debt (% of GDP),Electricity from fossil (% of total),Electricity from nuclear (% of total),Electricity from renewables excl. hydro (% of total),FDI (% of GDP),FDI (US$),GDP (constant PPP),GDP (current US$),GDP growth (%),Population (Total),WGI Average,,,,
Albania,2019,Copper,5900,Copper,0,100,74.80825181,0,0,0.442758356,7.70621465,0,43036938898,15585111614,2.062577902,2854191,-0.088126057,,,,
Albania,2019,Nickel,2960,Nickel,0,100,74.80825181,0,0,0.442758356,7.70621465,0,43036938898,15585111614,2.062577902,2854191,-0.088126057,,,,
Albania,2020,Copper,3070,Copper,0,100,83.45421985,0,0,0.624317711,7.018653013,0,41610799594,15241455556,-3.313756369,2837849,-0.11829717,,,,
Albania,2020,Nickel,3760,Nickel,0,100,83.45421985,0,0,0.624317711,7.018653013,0,41610799594,15241455556,-3.313756369,2837849,-0.11829717,,,,
Albania,2021,Copper,4430,Copper,0,100,81.92013929,0,0,0.465409507,6.757907216,0,45343111967,18032009220,8.969576191,2811666,-0.07267683,,,,
Albania,2021,Nickel,4090,Nickel,0,100,81.92013929,0,0,0.465409507,6.757907216,0,45343111967,18032009220,8.969576191,2811666,-0.07267683,,,,
Albania,2022,Copper,3470,Copper,0,100,0,0,0,0,7.579341584,0,47531686193,19017244117,4.826696119,2777689,-0.016979781,,,,
Albania,2022,Nickel,1570,Nickel,0,100,0,0,0,0,7.579341584,0,47531686193,19017244117,4.826696119,2777689,-0.016979781,,,,
Albania,2023,Copper,4720,Copper,0,100,0,0,0,0,6.883977284,0,49402826580,23547180412,3.936616892,2745972,0.04647322,,,,
Albania,2023,Nickel,570,Nickel,0,100,0,0,0,0,6.883977284,0,49402826580,23547180412,3.936616892,2745972,0.04647322,,,,
Algeria,2019,Phosphate Rock (P2O5),455100,Phosphate Rock (P2O5),0,99.5,0,98.97210706,0,0.843951623,0.713947308,0,6.58E+11,1.93E+11,0.899999999,43294546,-0.930458635,,,,
Algeria,2020,Phosphate Rock (P2O5),409900,Phosphate Rock (P2O5),0,99.7,0,99.08660224,0,1.000202135,0.693816015,0,6.25E+11,1.65E+11,-4.999999999,44042091,-0.88835451,,,,
